Medicine Name,Price
Avastin 100mg Injection,33863
Actorise 40 Injection,2928.2
Actorise 25 Injection,1815
Actorise 60 Injection,4235
Azel 80 Capsule,8700
Avastin 400mg Injection,123506
Azel 40mg Capsule,8700
Actorise 200 Injection,13642.75
Actorise 100 Injection,7320.5
Azacytin Injection,5079.5
Alecensa 150mg Capsule,124607
Aromasin 25mg Tablet,5873.47
Augmentin 625 Duo Tablet,204.85
Ascoril LS Syrup,129
Azithral 500 Tablet,131.94
Amoxyclav 625 Tablet,204.93
Allegra 120mg Tablet,240.68
Aricep 5 Tablet,135
Avil 25 Tablet,12.05
Aciloc 150 Tablet,44.85
Alex Syrup,141
Ascoril D Plus Syrup Sugar Free,141
Azee 500 Tablet,131.93
Allegra-M Tablet,265.62
Atarax 25mg Tablet,94
Ativan 1mg Tablet,69
Augmentin Duo Oral Suspension,67.54
Arkamin Tablet,79.8
Armotraz Tablet,760.94
Avomine Tablet,61.57
Anovate Cream,147.6
Alkasol Oral Solution,134.23
Allegra 180mg Tablet,275.11
Asthalin Syrup,20.16
Asthakind-DX Syrup Sugar Free,77.44
Alprax 0.25 Tablet,35
Amlokind-AT Tablet,49.05
Aldactone Tablet,36.6
Altraday Capsule SR,140
Althrocin 500 Tablet,120.8
Ativan 2mg Tablet,84.1
Ambrodil-S Syrup,36.15
Aricep 10 Tablet,195
Aricep-M  Tablet,159
Asthalin 100mcg Inhaler,176.98
Axcer  90mg Tablet,440
Aldigesic P 100mg/325mg Tablet,110
Atarax Syrup,121.25
AB-Flo-N Tablet,243.85
Asthakind Expectorant Sugar Free,70.64
Augmentin DDS Suspension,190.25
Alex Cough Lozenges Lemon Ginger,118
Aceclo Plus Tablet,99.45
Aciloc RD 20 Tablet,84.3
Arachitol 6L Injection,448.5
"Autrin Hematinic Capsule with Cyanocobalamin, Iron & Folic Acid",181
AB Phylline N Tablet,229
AB Phylline Capsule,177
Atarax 10mg Tablet,52.5
Aldigesic-SP Tablet,120
Anobliss Cream,136.68
Ascoril LS Junior Syrup,97
Ascoril LS Drops,78.5
Azithral 200 Liquid,57.12
Anafortan 25 mg/300 mg Tablet,91.1
AF Kit Tablet,115
Aziderm 20% Cream,339
Alprax 0.5mg Tablet,73.5
Alfoo 10mg Tablet PR,756.5
Amlokind 5 Tablet,24.83
Amoxycillin 500mg Capsule,31.9
Aziderm 10% Cream,324
Azicip 500 Tablet,79.16
Allegra Suspension Raspberry & Vanilla,207.65
Akurit 4 Tablet,99.8
AB Phylline SR 200 Tablet,276
Almox 500 Capsule,80.26
Ambrodil Syrup,83
Adaferin Gel,310
Asthalin Respules,7.77
Aquasol A Capsule,32.5
Acemiz Plus Tablet,119.75
Avil Injection,23.07
Aptimust Syrup,148.5
Amixide-H Tablet,56
Azax 500 Tablet,79.16
Angispan - TR 2.5mg Capsule,239.5
Alex Junior Syrup,104
Ambrodil-LX Syrup,99.45
Akt 4 Kit,29.85
Aziderm 10% Gel,253
Atorva 40 Tablet,216.16
Amitone 10mg Tablet,21.47
Acitrom 2 Tablet,501.72
Antiflu 75mg Capsule,799.39
Azoran Tablet,106.65
Augmentin 1000 Duo Tablet,661.45
Asthakind-LS Expectorant Cola Sugar Free,99
Aciloc 300 Tablet,54.8
Acton-OR Tablet SR,55.5
Aztor 10 Tablet,82.99
Azee 200mg Dry Syrup Peppermint,57.12
Atorva Tablet,82.99
Acemiz -MR Tablet,120.3
Ascoril Plus Tablet,32.5
Asthakind-P Drops,75.02
Admenta 5 Tablet,122
Augmentin 1.2gm Injection,157.52
Atarax Drops,76.5
Azeflo Nasal Spray,507.85
Azee 250 Tablet,130.36
Acogut Tablet,289.5
Atorva 20 Tablet,211
AntiD 300mcg/ml Injection,3940
Anxit 0.5 Tablet,51
Ascoril D Junior Cough Syrup,107
Amlopres-AT Tablet,163.44
Acivir 400 DT Tablet,76.44
